국가명,2018,2019,2020,2021,2022
가나,33449,23738,126101,90519,122100
가봉,22,0,363,10,1091
가이아나,0,0,1643,5505,14150
건지섬,0,17,12,30,0
과들루프,677,15,0,0,77063
과테말라,277389,394778,314399,339753,409339
괌,660997,547497,253311,593327,511630
그리스,758895,805244,975331,1687897,3292151
그린란드,70,3215,4362,0,64
기니,349,1916,5255,134,438
기니비사우,0,11,0,5075,1810
기타국,350,1025,109,5802,62356
나미비아,0,289,124,7506,25505
나이지리아,166011,109016,100062,476443,3194324
남아프리카공화국,1166480,1845465,2669676,2825659,3174372
네덜란드,15980559,17529245,21907233,34777232,34183664
네팔,448666,561677,214118,834677,811573
노르웨이,3639000,1907357,5150237,7776209,8283804
뉴질랜드,3425300,3017862,4150727,6017377,5929974
뉴칼레도니아,6230,6141,10565,16014,98233
니제르,0,5191,0,517,2928
니카라과,169,286,201,1594,35
덴마크,1354063,2758988,3934004,5032322,4989897
도미니카공화국,430853,477391,404469,715352,664884
도미니카연방,0,112,396,0,9827
독일,18076776,16554420,16469666,27082475,29982473
동티모르,0,0,7384,0,15838
라오스,1104340,1524997,4021770,7131490,2018436
라이베리아,1958,255,81,71,1060
라트비아,1799540,2795004,1914313,3536278,4201485
러시아연방,158678319,212145054,243406332,290193927,286523676
레바논,381039,557497,1014915,1372058,1994770
레유니온,0,197,242,313,87
루마니아,753961,1735587,5393539,6717380,8314017
룩셈부르크,52619,94997,19061,185946,46601
르완다,0,160,468,204,20
리비아,114448,424667,855630,1537164,1183049
리투아니아,1543135,2486853,2891671,2880766,11368425
마다가스카르,0,60,31175,1439,500
마르티니끄,0,88,38245,99833,99673
마샬 제도,2499,30911,62898,34004,6055
마요트,0,0,0,569,0
마이크로네시아,0,148,2376,2131,1623
마카오,7644469,4591925,2025176,1799580,804969
마케도니아,10444,28846,192602,433572,373136
말라위,0,0,58,52,11044
말레이지아,87602610,89472236,88594562,105021852,115393357
말리,42957,0,0,278,989
맨섬,0,0,20,0,0
멕시코,10559891,11195379,8660433,12707834,13662271
모나코,23677,3720,3829,18427,4057
모로코,200746,261601,293650,385195,447889
모리셔스,324096,402420,386840,764458,809954
모리타니아,946,1435,239,0,7154
모잠비크,553,26611,20820,39736,16157
몬테네그로,15304,25650,31863,111963,122286
몰다비아,767315,2269080,3869878,3719022,5248600
몰디브,466430,238695,16737,45322,52962
몰타,20648,115750,134771,57061,468001
몽골,12771320,16683206,16774396,22582329,31542382
미국,542694234,529719802,638658013,840111156,838572820
미국령사모아,24,92,0,445,748
미얀마,10417695,16274709,19437832,18133110,36202642
바누아투,436,47,538,1518,1539
바레인,204915,284779,722122,691285,477086
바베이도스,0,131,33060,111,282
바하마,0,0,51,0,0
방글라데시,2604121,2429027,2796851,3868862,5487654
버뮤다,15,138,142,0,231
"버진아일랜드,미",0,14134,8061,223,1187
"버진아일랜드,영",0,11986,0,0,0
베냉,2327,38,752,11870,635
베네수엘라,23992,78796,165520,188365,299444
베트남,168603360,223610045,262793803,303909082,375026204
벨기에,2341514,2019642,3643916,4662202,3651233
벨라루스,990191,1874121,2922014,2803673,4888791
벨리즈,0,22902,0,63,0
보스니아-헤르체고비나,7293,27220,9468,6546,51760
보츠와나,0,470,1323,46,13918
볼리비아,221501,242675,134664,179816,254493
부르키나파소,0,0,4022,3060,7323
부탄,36275,228333,735327,948166,875008
북마리아나제도,1543,5940,14006,29366,23481
불가리아,1004140,1893566,3589236,5270144,5739911
브라질,3050715,4687404,5209904,8579861,9044039
브루나이,580567,522496,892577,1133445,2043761
브룬디,0,20,0,0,0
사우디아라비아,7106577,11026275,22481732,18923758,23330140
